tarikh,nama_kluster,kategori_kluster,negeri
2021-06-17,Industri Jalan Balakong Impian,Tempat Kerja,Selangor
2021-06-17,Bukit Godek,Komuniti,Melaka
2021-06-17,Taman Midah,Pendidikan,WP Kuala Lumpur
2021-06-17,Dah Industri Hitam,Tempat Kerja,Kedah
2021-06-17,Dah Industri Bakar,Tempat Kerja,Kedah
2021-06-17,Dah Segar Indah,Tempat Kerja,Kedah
2021-06-17,Lorong Industri Tujuh,Tempat Kerja,Pulau Pinang
2021-06-17,Tapak Bina Jalan Gelugor,Tempat Kerja,Pulau Pinang
2021-06-17,Sawai Niah,Tempat Kerja,Sarawak
2021-06-17,Pondok Batu Lapan,Tempat Kerja,Negeri Sembilan
2021-06-17,Jalan Kidurong Empat,Komuniti,Sarawak
2021-06-17,Bari,Komuniti,Negeri Sembilan
2021-06-17,Dah Industri Desa,Tempat Kerja,Kedah
2021-06-18,Industri Jalan Hitech Tujuh,Tempat Kerja,Selangor
2021-06-18,Industri Jalan Waja 14,Tempat Kerja,Selangor
2021-06-18,Jalan Abang Haji Openg,Tempat Kerja,WP Kuala Lumpur
2021-06-18,Industri Taming Lima,Tempat Kerja,Selangor
2021-06-18,Industri Agas Lima,Tempat Kerja,Johor
2021-06-18,Jalan SILC Industri,Tempat Kerja,Johor
2021-06-18,Tanjung A Empat,Tempat Kerja,Johor
2021-06-18,Industri Ayer Keroh,Tempat Kerja,Melaka
2021-06-18,Industri Jalan Mawar,Tempat Kerja,Melaka
2021-06-18,Industri Bukit Serdang Tujuh,Tempat Kerja,Selangor
2021-06-18,Tapak Bina Air Panas,Tempat Kerja,WP Kuala Lumpur
2021-06-18,Industri Jalan Jasmin,Tempat Kerja,Selangor
2021-06-18,Jalan Sungai Tapang,Tempat Kerja,Sarawak
2021-06-18,Jalan Fauna Satu,Tempat Kerja,Selangor
2021-06-18,Jalan Bidor,Tempat Kerja,Perak
2021-06-18,Kampung Serikin,Komuniti,Sarawak
2021-06-18,Jalan Padang Tembak Ayer Itam,Komuniti,Pulau Pinang
2021-06-18,Cabang Empat Salam,Komuniti,Kelantan
2021-06-18,Durian Penjara,Komuniti,Terengganu
2021-06-18,Jalan 18/16A Petaling,Kumpulan Berisiko Tinggi,Selangor
2021-06-18,Tembok Taiping 2,Pusat Tahanan,Perak
2021-06-18,Pintas – Lingkudau,Tempat Kerja,Sabah
2021-06-18,Tapak Bina Desa Rawang,Tempat Kerja,Selangor
2021-06-19,Jalan Kenyalang,Tempat Kerja,Johor
2021-06-19,Industri Jalan P1 Ayer Keroh,Tempat Kerja,Melaka
2021-06-19,Tanjung Bin Dua,Tempat Kerja,Johor
2021-06-19,Tapak Bina Perdagangan Dana,Tempat Kerja,Selangor
2021-06-19,Jalan Tujuh Selatan Dua,Tempat Kerja,Selangor
2021-06-19,Jalan Vita Dua,Tempat Kerja,Selangor
2021-06-19,Taman Merbau Utama,Komuniti,Kelantan
2021-06-19,Selindang,Tempat Kerja,Pahang
2021-06-19,Jalan Tengah,Komuniti,Johor
2021-06-19,Industri Alam Jaya 2/1,Tempat Kerja,Selangor
2021-06-19,Tapak Bina Jalan Perumahan Gurney,Tempat Kerja,WP Kuala Lumpur
2021-06-19,Jalan Kempas Lima,Tempat Kerja,Johor
2021-06-19,Industri Jalan Dua,Tempat Kerja,Selangor
2021-06-19,Dah Industri Jabi,Tempat Kerja,Kedah
2021-06-19,Sungai Banun,Komuniti,Sarawak
2021-06-19,Kampung Bedal,Komuniti,Kelantan
2021-06-19,Tebakang Dayak,Komuniti,Sarawak
2021-06-19,Tembok Mantin,Pusat Tahanan,Negeri Sembilan
2021-06-19,Tembok Labuan,Pusat Tahanan,WP Labuan
2021-06-19,Tembok Kluang,Pusat Tahanan,Johor
2021-06-19,Tembok Machang,Pusat Tahanan,Kelantan
2021-06-19,Dah Tiong,Kumpulan Berisiko Tinggi,Kedah
2021-06-19,Taman Damai,Komuniti,Kelantan
2021-06-19,Mongkos 2,Komuniti,Sarawak
2021-06-20,Tapak Bina Persiaran Hamidiah,Tempat Kerja,Selangor
2021-06-20,Industri Lebuh Satu,Tempat Kerja,Selangor
2021-06-20,Industri Solok Waja Satu,Tempat Kerja,Selangor
2021-06-20,Industri Meranti Dua,Tempat Kerja,Selangor
2021-06-20,Jalan Bundusan,Tempat Kerja,Sabah
2021-06-20,Tembok Sungai Udang 2,Pusat Tahanan,Melaka
2021-06-20,Iris Garden,Kumpulan Berisiko Tinggi,Sarawak
2021-06-20,Jalan Kemboja Tujuh,Kumpulan Berisiko Tinggi,Negeri Sembilan
2021-06-20,Kampung Nelayan Tengah,Komuniti,Sabah
2021-06-20,Beladau Selat,Komuniti,Terengganu
2021-06-20,Lorong Perlis Empat,Komuniti,Sarawak
2021-06-20,Kampung Pulau Panjang,Komuniti,Kelantan
2021-06-20,Kampung Tok Kamis,Komuniti,Kelantan
2021-06-20,Industri Lukut Tiga,Tempat Kerja,Negeri Sembilan
2021-06-20,Kampung Kubang Panjang,Tempat Kerja,Kelantan
2021-06-20,Lorong Empat Jerantut,Tempat Kerja,Pahang
2021-06-20,Indera Mahkota 16,Tempat Kerja,Pahang
2021-06-20,Tapak Bina Perindustrian Olak Lempit,Tempat Kerja,Selangor
2021-06-20,Tapak Bina Jalan Seri Tanjung Pinang,Tempat Kerja,Pulau Pinang
2021-06-21,Kampung Muara Tebas,Komuniti,Sarawak
2021-06-21,Serudung Baru,Komuniti,Sabah
2021-06-21,Jalan Jeram Pasu,Komuniti,Kelantan
2021-06-21,Kampung Tiong,Komuniti,Kelantan
2021-06-21,Quadruplex Lapan Enam,Komuniti,Sarawak
2021-06-21,Kevok,Komuniti,Sarawak
2021-06-21,Jalan Baru Tatau – Bintulu,Tempat Kerja,Sarawak
2021-06-21,Jalan Merbok Ayer Keroh,Tempat Kerja,Melaka
2021-06-21,Samedra,Tempat Kerja,Sabah
2021-06-21,Jalan Jelai – Rompin,Tempat Kerja,Negeri Sembilan
2021-06-21,Jalan Tok Jangggut,Kumpulan Berisiko Tinggi,Kelantan
2021-06-21,Lebuh Kurau Tiga,Tempat Kerja,Pulau Pinang
2021-06-21,Jalan Bioteknologi Dua,Tempat Kerja,Johor
2021-06-21,Jalan Pekeliling Industri,Tempat Kerja,Johor
2021-06-21,Perindustrian Sri Plentong,Tempat Kerja,Johor
2021-06-21,Tapak Bina Gunung Satu,Tempat Kerja,Johor
2021-06-21,Industri Batu Besar,Tempat Kerja,Selangor
2021-06-21,Industri Jati Kiri,Tempat Kerja,Selangor
2021-06-21,Industri Jalan Enggang Ampang,Tempat Kerja,Selangor
2021-06-21,Industri Jalan Bebas Tiga,Tempat Kerja,Selangor
2021-06-21,Industri Bukit Tengah,Tempat Kerja,Pulau Pinang
2021-06-21,Taman Rantau Mas,Komuniti,Kelantan
2021-06-22,Industri Kampung Bukit Angkat,Tempat Kerja,Selangor
2021-06-22,Jalan Persiaran Enam,Tempat Kerja,Selangor
2021-06-22,Tapak Bina Laluan Klang,Tempat Kerja,Selangor
2021-06-22,Taman Pusat Kepong,Tempat Kerja,WP Kuala Lumpur
2021-06-22,Jalan Kepong Usaha,Tempat Kerja,WP Kuala Lumpur
2021-06-22,Jalan Tasik Selatan,Tempat Kerja,WP Kuala Lumpur
2021-06-22,Jalan Sri Hartamas,Tempat Kerja,WP Kuala Lumpur
2021-06-22,Industri Jalan Teknologi Lima Nilai,Tempat Kerja,Negeri Sembilan
2021-06-22,Industri Jalan Senawang Empat,Tempat Kerja,Negeri Sembilan
2021-06-22,Jalan Maju Lima,Tempat Kerja,Johor
2021-06-22,Kampung Bukit Tanah,Komuniti,Kelantan
2021-06-22,Kampung Kubang Hakim,Komuniti,Kelantan
2021-06-22,Kampung Pulau Tukang Dollah,Komuniti,Kelantan
2021-06-22,Lunyim,Komuniti,Sarawak
2021-06-22,Sungai Long Seripa,Komuniti,Sarawak
2021-06-22,Dah Perdana Tinggi,Pendidikan,Kedah
2021-06-22,Tembok Ulu Teris,Pusat Tahanan,Selangor
2021-06-22,Jalan Laksamana Cheng Ho,Kumpulan Berisiko Tinggi,Melaka
2021-06-22,Industri SS Lapan Sungai Way,Tempat Kerja,Selangor
2021-06-22,Jalan Permata 22,Tempat Kerja,Selangor
2021-06-22,Jalan Kebun Baru,Tempat Kerja,Selangor
2021-06-23,Nanga Tada,Komuniti,Sarawak
2021-06-23,Jalan Perdagangan Alam Jaya,Tempat Kerja,Selangor
2021-06-23,Tembok Jelebu,Pusat Tahanan,Negeri Sembilan
2021-06-23,Jalan Sepang,Kumpulan Berisiko Tinggi,Selangor
2021-06-23,Jerung Surau,Komuniti,Terengganu
2021-06-23,Kampung Segambut Dalam,Komuniti,WP Kuala Lumpur
2021-06-23,Lorong Tun Mamat Dua,Komuniti,Melaka
2021-06-23,Tanjong Lelengau,Komuniti,Sarawak
2021-06-23,Sungai Kotak,Komuniti,Sarawak
2021-06-23,Jalan Kuala Tatau,Komuniti,Sarawak
2021-06-23,Pasar Kemunting,Tempat Kerja,Pahang
2021-06-23,Jalan Kempas Permatang,Tempat Kerja,Johor
2021-06-23,Jalan Kukuban,Tempat Kerja,WP Kuala Lumpur
2021-06-23,Jalan Mangga Satu,Tempat Kerja,Melaka
2021-06-23,Industri Jalan Usaha Dua,Tempat Kerja,Melaka
2021-06-23,Tingkat Perusahaan 6A,Tempat Kerja,Pulau Pinang
2021-06-23,Industri Jalan Macalister,Tempat Kerja,Pulau Pinang
2021-06-23,Industri Perusahaan Utama,Tempat Kerja,Selangor
2021-06-23,Industri Jalan Kidamai Dua,Tempat Kerja,Selangor
2021-06-23,Jalan Bandar Satu,Tempat Kerja,Selangor
2021-06-23,Jalan Enam Selatan Dua,Tempat Kerja,Selangor
2021-06-23,Tapak Bina Warisan Puteri,Tempat Kerja,Selangor
2021-06-23,Industri Jalan Bacang,Tempat Kerja,Selangor
2021-06-23,Jalan Raja Bot,Tempat Kerja,WP Kuala Lumpur
2021-06-24,Sungai Linau,Tempat Kerja,Selangor
2021-06-24,Tapak Bina Persiaran Aspirasi,Tempat Kerja,Selangor
2021-06-24,Jalan Cox,Kumpulan Berisiko Tinggi,Selangor
2021-06-24,Jalan Langat Utama Satu,Tempat Kerja,Selangor
2021-06-24,Jalan Senai Jaya Satu,Komuniti,Johor
2021-06-24,Taman Kurnia Jaya,Komuniti,Kelantan
2021-06-24,Kampung Kajang Sebidang,Komuniti,Kelantan
2021-06-24,Taman Bukit Angkasa,Komuniti,WP Kuala Lumpur
2021-06-24,Pantai Ria,Komuniti,WP Kuala Lumpur
2021-06-24,Jalan Kubur,Komuniti,WP Kuala Lumpur
2021-06-24,Sentral Triang,Tempat Kerja,Pahang
2021-06-24,Pulai Jaya Sembilan,Tempat Kerja,Perak
2021-06-24,Brumas Camp,Komuniti,Sabah
2021-06-24,Taman Tun Dr Ismail,Tempat Kerja,WP Kuala Lumpur
2021-06-24,Paris Tiga,Tempat Kerja,Sabah
2021-06-24,Dah 3/5 Industri Sungai Petani,Tempat Kerja,Kedah
2021-06-24,Dah Industri Sungai Getah,Tempat Kerja,Kedah
2021-06-24,Jalan Keluli Industri,Tempat Kerja,Johor
2021-06-24,Industri Murni Lapan,Tempat Kerja,Johor
2021-06-24,Jalan Sungai Antu,Tempat Kerja,Sarawak
2021-06-24,Permata Satu 2,Tempat Kerja,Negeri Sembilan
2021-06-24,Perusahaan Pantai,Tempat Kerja,Negeri Sembilan
2021-06-24,Jalan Haruan Tujuh,Tempat Kerja,Negeri Sembilan
2021-06-24,Industri Jalan Udang,Tempat Kerja,Selangor
2021-06-24,Industri Mahkota Beranang,Tempat Kerja,Selangor
2021-06-24,Industri Rawang Perdana Satu,Tempat Kerja,Selangor
2021-06-24,Industri Jalan Seruling 57,Tempat Kerja,Selangor
2021-06-24,Industri Jalan Kilang Bestari,Tempat Kerja,Selangor
2021-06-24,Dah 30 Relong,Komuniti,Kedah
2021-06-24,Sungai Separai,Komuniti,Sarawak
2021-06-25,Kailan Tringkap,Tempat Kerja,Pahang
2021-06-25,Kailan Tringkap,Tempat Kerja,Perak
2021-06-25,Dah 11 Industri Sungai Petani,Tempat Kerja,Kedah
2021-06-25,Jalan Kampung Jawa,Tempat Kerja,Pulau Pinang
2021-06-25,Jalan Raja Muda Musa,Tempat Kerja,WP Kuala Lumpur
2021-06-25,Jalan Kidurong Lima,Tempat Kerja,Sarawak
2021-06-25,Pengkalan Gelugor,Komuniti,Terengganu
2021-06-25,Jalan Laksamana Intan,Komuniti,Perak
2021-06-25,Kilometer 23 Puncak Borneo,Pusat Tahanan,Sarawak
2021-06-25,Jalan Taman Ibu Kota,Tempat Kerja,WP Kuala Lumpur
2021-06-25,Tapak Bina Matahari 2,Tempat Kerja,WP Kuala Lumpur
2021-06-25,Tapak Bina Jalan Utara,Tempat Kerja,WP Kuala Lumpur
2021-06-25,Jalan Ampang Water Front Dua,Tempat Kerja,Selangor
2021-06-25,Jalan Ampang Water Front Dua,Tempat Kerja,WP Kuala Lumpur
2021-06-25,Industri Kilometer 17 Rawang,Tempat Kerja,Selangor
2021-06-25,Jalan Cyberia Dua,Tempat Kerja,Selangor
2021-06-25,Industri Jalan Norton,Tempat Kerja,Selangor
2021-06-25,Industri SS Lapan Dua,Tempat Kerja,Selangor
2021-06-25,Industri Jalan Seruling 59,Tempat Kerja,Selangor
2021-06-25,Tapak Bina Jalan City,Tempat Kerja,Selangor
2021-06-25,Tapak Bina Lebuh 2,Tempat Kerja,Selangor
2021-06-25,Wakaf Aik,Tempat Kerja,Kelantan
2021-06-25,Jalan Nirwana Dua,Tempat Kerja,Melaka
2021-06-26,Tapak Bina Pintasan Segambut,Tempat Kerja,WP Kuala Lumpur
2021-06-26,Industri Tanjung Suria,Tempat Kerja,Selangor
2021-06-26,Tapak Bina Cybersouth Utama,Tempat Kerja,Selangor
2021-06-26,Industri Jalan Enam Salak Tinggi,Tempat Kerja,Selangor
2021-06-26,Changkat Intan,Kumpulan Berisiko Tinggi,Perak
2021-06-26,Permatang Pasir Bachok,Komuniti,Kelantan
2021-06-26,Nyelutong,Komuniti,Sarawak
2021-06-26,Tembok Tawau,Pusat Tahanan,Sabah
2021-06-26,Penjara Jalan Harapan 2,Pusat Tahanan,Selangor
2021-06-26,PLO Jalan Perak,Tempat Kerja,Johor
2021-06-26,Industri Serkam 2,Tempat Kerja,Melaka
2021-06-26,Jalan Usaha Jaya,Tempat Kerja,Pulau Pinang
2021-06-26,Perindustrian Bakri Satu,Tempat Kerja,Johor
2021-06-26,Bandar Rantau Panjang,Tempat Kerja,Kelantan
2021-06-27,Kampung Melor Lama,Komuniti,Kelantan
2021-06-27,Linau Kumpang,Komuniti,Sabah
2021-06-27,Industri Kampung Sungai Bakau,Tempat Kerja,Selangor
2021-06-27,Tapak Bina Jade,Tempat Kerja,Selangor
2021-06-27,Industri Jalan Sungai Tua,Tempat Kerja,Selangor
2021-06-27,Tapak Bina Jalan Kuching,Tempat Kerja,WP Kuala Lumpur
2021-06-27,Tapak Bina Jalan Residen Dua,Tempat Kerja,WP Kuala Lumpur
2021-06-27,Tapak Bina Jalan Kiara Lima,Tempat Kerja,WP Kuala Lumpur
2021-06-27,Jalan Stampin,Kumpulan Berisiko Tinggi,Sarawak
2021-06-27,Tembok Kota Kinabalu,Pusat Tahanan,Sabah
2021-06-27,Jalan 12 Kampar,Komuniti,Perak
2021-06-27,Kampung Gong Depu,Komuniti,Kelantan
2021-06-27,Kuarters Bata Durok,Komuniti,Sabah
2021-06-27,Industri Rawang Bestari,Tempat Kerja,Selangor
2021-06-27,Murni Sepang,Komuniti,Selangor
2021-06-27,Tapak Bina Jalan Belfield,Tempat Kerja,WP Kuala Lumpur
2021-06-27,Pekeliling Tanjung 27,Tempat Kerja,Johor
2021-06-28,Industri Persiaran Bunga Tanjung Satu,Tempat Kerja,Negeri Sembilan
2021-06-28,Industri Waja 2,Tempat Kerja,Selangor
2021-06-28,Industri Jalan Laksamana Satu,Tempat Kerja,Selangor
2021-06-28,Industri Jalan Dolomite Dua,Tempat Kerja,Selangor
2021-06-28,Tapak Bina Lingkaran Eco Majestic,Tempat Kerja,Selangor
2021-06-28,Tapak Bina Jalan Wangsa 2,Tempat Kerja,WP Kuala Lumpur
2021-06-28,Tapak Bina Jalan Kiara Tujuh,Tempat Kerja,WP Kuala Lumpur
2021-06-28,Jalan Tanjung Puteri Satu,Tempat Kerja,Johor
2021-06-28,Tapak Bina Jalan Kasipillay,Tempat Kerja,WP Kuala Lumpur
2021-06-28,Jalan Kebun Bakri,Tempat Kerja,Johor
2021-06-28,Jalan Gunung Lapan,Komuniti,Johor
2021-06-28,Industri Teknologi Cheng 22,Tempat Kerja,Melaka
2021-06-28,Business City,Tempat Kerja,Melaka
2021-06-28,Jalan Semariang,Tempat Kerja,Sarawak
2021-06-28,Dah Sembilan Industri Sungai Petani,Tempat Kerja,Kedah
2021-06-28,Bandar Baru Lubok Jong,Tempat Kerja,Kelantan
2021-06-28,Simpang Koko,Komuniti,Sarawak
2021-06-28,Luteng,Komuniti,Sarawak
2021-06-28,Kubang Jela,Komuniti,Terengganu
2021-06-28,Kampung Telosan,Komuniti,Kelantan
2021-06-28,Dah Sawi,Komuniti,Kedah
2021-06-28,Industri Bunga Tanjung Dua,Tempat Kerja,Negeri Sembilan
2021-06-29,Nanga Belungai,Komuniti,Sarawak
2021-06-29,Industri Balakong Sembilan,Tempat Kerja,Selangor
2021-06-29,Banggol Chicha Ketereh,Komuniti,Kelantan
2021-06-29,Kampung Lada,Komuniti,Pahang
2021-06-29,Jalan Putra Sembilan,Komuniti,WP Putrajaya
2021-06-29,Sungai Ling,Komuniti,Pahang
2021-06-29,Jalan Empat Bandar Baru Bangi,Komuniti,Selangor
2021-06-29,Cahaya Enam,Komuniti,Selangor
2021-06-29,Kenawar 69,Komuniti,Johor
2021-06-29,Jalan Bidara,Komuniti,Johor
2021-06-29,Rimba Raja,Komuniti,Perak
2021-06-29,Taman Desa An Nur,Komuniti,Kelantan
2021-06-29,Kampung Jelutong,Komuniti,Perak
2021-06-29,Muhibbah Menggatal,Komuniti,Sabah
2021-06-29,Tapak Bina Jalan Tun Razak,Tempat Kerja,WP Kuala Lumpur
2021-06-29,Jalan Dataran Segar,Tempat Kerja,Negeri Sembilan
2021-06-29,Industri Lorong Bunga Tanjung Satu,Tempat Kerja,Negeri Sembilan
2021-06-29,Jalan Jaya Temerloh,Tempat Kerja,Pahang
2021-06-29,Tapak Bina Jalan Choo Cheng Kay,Tempat Kerja,WP Kuala Lumpur
2021-06-29,Jalan Pee Kang Hai,Kumpulan Berisiko Tinggi,Johor
2021-06-29,Jalan Alor Setar,Tempat Kerja,WP Kuala Lumpur
2021-06-29,Industri Sungai Chua Satu,Tempat Kerja,Selangor
2021-06-29,Tapak Bina Sunsuria City,Tempat Kerja,Selangor
2021-06-29,Jalan PJS Lapan,Tempat Kerja,Selangor
2021-06-29,Jalan Tanggilan,Pendidikan,WP Putrajaya
2021-06-29,Jalan Tanggilan,Pendidikan,Selangor
2021-06-29,Jalan TJ 2,Tempat Kerja,Negeri Sembilan
2021-06-29,Industri Benus,Tempat Kerja,Pahang
2021-06-30,Industri Jalan Ikan Duyung,Tempat Kerja,Selangor
2021-06-30,Industri Subang Utama Enam,Tempat Kerja,Selangor
2021-06-30,Jalan PPS Satu,Tempat Kerja,Selangor
2021-06-30,Perindustrian Rami Satu,Tempat Kerja,Johor
2021-06-30,Industri Jalan Masjid Batu Sembilan,Tempat Kerja,Selangor
2021-06-30,Perindustrian 33,Tempat Kerja,WP Kuala Lumpur
2021-06-30,Pasar TTDI,Tempat Kerja,WP Kuala Lumpur
2021-06-30,Jalan Penaga Industri,Tempat Kerja,Johor
2021-06-30,Perindustrian Murni Empat,Tempat Kerja,Johor
2021-06-30,Industri Bidor,Tempat Kerja,Perak
2021-06-30,Batu 23 Choh,Tempat Kerja,Johor
2021-06-30,Meranti Indah,Pendidikan,Pahang
2021-06-30,Jalan Emas Putih,Kumpulan Berisiko Tinggi,Selangor
2021-06-30,Blimbing,Komuniti,Sarawak
2021-06-30,Po Ai,Komuniti,Sarawak
2021-06-30,Tema Saan,Komuniti,Sarawak
2021-06-30,Limbawang,Komuniti,Sabah
2021-06-30,Parit Keroma,Komuniti,Johor
2021-06-30,Kampung Nibong Lemal,Komuniti,Kelantan
2021-06-30,Jalan 14/44 Padang Tembak,Komuniti,Kelantan
2021-06-30,Kampung Pangkal Jetas,Komuniti,Kelantan
2021-06-30,Jalan Thean Teik,Tempat Kerja,Pulau Pinang
2021-06-30,Jalan Prima Impian,Tempat Kerja,WP Kuala Lumpur
2021-07-01,Nahaba 2,Komuniti,Sabah
2021-07-01,Jalan Lagenda,Komuniti,Johor
2021-07-01,Dah Batik Industri Sungai Petani,Tempat Kerja,Kedah
2021-07-01,Dah Mawar Biru,Tempat Kerja,Kedah
2021-07-01,Dah Lima Industri Sungai Petani,Tempat Kerja,Kedah
2021-07-01,Industri MIEL Bayan Lepas,Tempat Kerja,Pulau Pinang
2021-07-01,Jalan Perusahaan Maju Sembilan,Tempat Kerja,Pulau Pinang
2021-07-01,Jalan Perusahaan Maju Sembilan,Tempat Kerja,Perak
2021-07-01,Industri Balakong Empat,Tempat Kerja,Selangor
2021-07-01,Industri Perusahaan Selesa Jaya,Tempat Kerja,Selangor
2021-07-01,Jalan Sin Chew Kee,Tempat Kerja,WP Kuala Lumpur
2021-07-01,Kampung Telok Kemang,Tempat Kerja,Johor
2021-07-01,Jalan Industri Enam Jelapang,Tempat Kerja,Perak
2021-07-01,Kampung Tengah Tanah Merah,Komuniti,Kelantan
2021-07-01,Kampung Redang Gunong,Komuniti,Kelantan
2021-07-01,Kampung Bagus,Komuniti,Kelantan
2021-07-01,Kampung Hutan Banggol,Komuniti,Kelantan
2021-07-01,Taman SP Mahang,Komuniti,Kelantan
2021-07-01,Seri Semarak,Komuniti,WP Kuala Lumpur
2021-07-01,Dah Tanjung Setol,Komuniti,Kedah
2021-07-01,Jalan Residensi,Kumpulan Berisiko Tinggi,Pulau Pinang
2021-07-01,Lorong Perusahaan Maju Lapan,Tempat Kerja,Pulau Pinang
2021-07-02,Persiaran Soga,Kumpulan Berisiko Tinggi,Johor
2021-07-02,Perdagangan Harmoni Satu,Tempat Kerja,Selangor
2021-07-02,Jalan Orkid,Kumpulan Berisiko Tinggi,Selangor
2021-07-02,Persiaran MARDI,Kumpulan Berisiko Tinggi,Selangor
2021-07-02,Tanjung Pitas,Komuniti,Sabah
2021-07-02,Kompleks Fasa Dua,Komuniti,Johor
2021-07-02,Kampung Pahi Kuala Krai,Komuniti,Kelantan
2021-07-02,Kampung Sungai Hilir Perupok,Komuniti,Kelantan
2021-07-02,Tingkat Perusahaan 4A,Tempat Kerja,Pulau Pinang
2021-07-02,Sungai Gamong,Komuniti,Sarawak
2021-07-02,Kilometer 85 Mukah,Tempat Kerja,Sarawak
2021-07-02,Tapak Bina Persiaran Institusi,Tempat Kerja,Selangor
2021-07-02,Jalan Besar Teras Jernang,Tempat Kerja,Selangor
2021-07-02,Keluli Industri Tiga,Tempat Kerja,Johor
2021-07-02,Jalan By Pass Batu Anam,Tempat Kerja,Johor
2021-07-02,Damai 16,Tempat Kerja,Johor
2021-07-02,Jalan Masjid India,Tempat Kerja,WP Kuala Lumpur
2021-07-03,Lingkaran Syed Putra,Tempat Kerja,WP Kuala Lumpur
2021-07-03,Industri Seri Kembangan,Tempat Kerja,Selangor
2021-07-03,Jalan Haji Taha,Tempat Kerja,Sarawak
2021-07-03,Industri Sungai Sembrong,Tempat Kerja,Johor
2021-07-03,Industri Taming Jaya,Tempat Kerja,Selangor
2021-07-03,Jalan Sri Raya,Tempat Kerja,Melaka
2021-07-03,Industri Jalan Tech Valley Satu,Tempat Kerja,Negeri Sembilan
2021-07-03,Jalan Harmonium Tebrau,Tempat Kerja,Johor
2021-07-03,Jalan Songsang,Tempat Kerja,Pahang
2021-07-03,Industri Jalan Murni 12,Tempat Kerja,Johor
2021-07-03,Pagar Tebedu,Pusat Tahanan,Sarawak
2021-07-03,Zone B Selatan,Tempat Kerja,Selangor
2021-07-03,Industri Jalan Sultan,Tempat Kerja,Selangor
2021-07-03,Perindustrian Bakri Tiga,Tempat Kerja,Johor
2021-07-03,Nusa Perintis Enam,Tempat Kerja,Johor
2021-07-03,Lorong Perusahaan Empat,Tempat Kerja,Pulau Pinang
2021-07-03,Jalan Nagasari Satu,Tempat Kerja,Pulau Pinang
2021-07-03,Dah Mata Ayer,Komuniti,Kedah
2021-07-03,Kampung Jaya Setia Badang,Komuniti,Kelantan
2021-07-04,Industri Jalan Bangi Lama,Tempat Kerja,Selangor
2021-07-04,Industri Bypass Gebeng,Tempat Kerja,Pahang
2021-07-04,Kilometer 22 Jalan Gambang,Tempat Kerja,Pahang
2021-07-04,Jalan Perindustrian Agas 11,Tempat Kerja,Johor
2021-07-04,Persiaran Kempas Jernih,Kumpulan Berisiko Tinggi,Johor
2021-07-04,Industri Parit Jamil,Tempat Kerja,Johor
2021-07-04,Jalan Wira Lapan,Tempat Kerja,Johor
2021-07-04,Pengkalan Batu,Tempat Kerja,Kelantan
2021-07-04,Industri Parit Hulu,Tempat Kerja,Johor
2021-07-04,Gong Pasir,Komuniti,Terengganu
2021-07-04,Lorong Sungai Tiram,Tempat Kerja,Pulau Pinang
2021-07-04,35 Bintulu,Tempat Kerja,Sarawak
2021-07-04,Sungai Pelepak,Komuniti,Sarawak
2021-07-04,Sungai Entajum,Komuniti,Sarawak
2021-07-04,Kampung Jeram Perdah,Komuniti,Kelantan
2021-07-04,Bahtera Barat,Tempat Kerja,Sabah
2021-07-04,Lorong Empat Sekinchan,Komuniti,Selangor
